Unnamed: 0,w1,w2,ZC,ZT,Z,w1_over_w2
0,0.0,1.0,4666267914186.481,114,100000000.0,0.0
1,0.0204081632653061,0.979591836734694,4632510712240.005,113,208.6921256526063,0.020833333333333308
2,0.0408163265306122,0.9591836734693876,4542473917958.58,115,95918377.6348404,0.04255319148936166
3,0.0612244897959183,0.9387755102040816,4710086477649.254,118,93877563.29943047,0.06521739130434775
4,0.0816326530612244,0.9183673469387756,4600732054105.238,112,91836747.73300928,0.08888888888888878
5,0.1020408163265306,0.8979591836734694,4640847122986.268,112,89795940.81171441,0.11363636363636362
6,0.1224489795918367,0.8775510204081632,4470940020120.183,118,87755139.88859138,0.1395348837209302
7,0.1428571428571428,0.8571428571428572,4638243999556.677,115,85714322.79235543,0.16666666666666657
8,0.1632653061224489,0.8367346938775511,4605927376597.532,112,83673498.69230174,0.1951219512195121
9,0.183673469387755,0.8163265306122449,4603067317137.033,115,81632687.79872026,0.22499999999999987
10,0.2040816326530612,0.7959183673469388,4640163471500.678,112,79591879.41287349,0.2564102564102564
11,0.2244897959183673,0.7755102040816326,4604881278493.549,112,77551062.62833771,0.28947368421052627
12,0.2448979591836734,0.7551020408163265,4637197291084.469,114,75510434.37528312,0.3243243243243243
13,0.2653061224489795,0.7346938775510204,4635943063194.425,107,73469434.57403208,0.36111111111111094
14,0.2857142857142857,0.7142857142857143,4560726603427.192,108,71428624.32577975,0.39999999999999997
15,0.3061224489795918,0.6938775510204083,4609664864262.7705,111,539.3374436463511,0.44117647058823517
16,0.3265306122448979,0.6734693877551021,4620058409580.642,110,67346995.77144495,0.4848484848484847
17,0.3469387755102041,0.653061224489796,4550050027443.209,114,225.96862078200093,0.53125
18,0.3673469387755101,0.6326530612244898,4668949360092.98,110,63265429.49624001,0.5806451612903224
19,0.3877551020408163,0.6122448979591837,4657608920530.73,109,503.94381943585466,0.6333333333333333
20,0.4081632653061224,0.5918367346938775,4513976550479.315,117,59183775.77355273,0.689655172413793
21,0.4285714285714285,0.5714285714285714,4615203770140.437,112,57142932.86056536,0.7499999999999999
22,0.4489795918367346,0.5510204081632654,4545160339673.084,113,55102153.10695455,0.8148148148148145
23,0.4693877551020408,0.5306122448979592,4625927601465.493,109,53061333.97751921,0.8846153846153845
24,0.4897959183673469,0.5102040816326531,4658893398953.879,111,51020506.46178991,0.96
25,0.5102040816326531,0.4897959183673469,4570959657516.026,113,48979721.370094016,1.0416666666666667
26,0.5306122448979591,0.4693877551020409,4575910393960.803,110,46938901.71344512,1.1304347826086953
27,0.5510204081632653,0.4489795918367347,4553984424228.012,114,44898107.48469613,1.227272727272727
28,0.5714285714285714,0.4285714285714286,4688804541882.826,111,42857272.21562392,1.3333333333333333
29,0.5918367346938775,0.4081632653061224,4607900762251.546,112,40816469.50228686,1.4500000000000002
30,0.6122448979591836,0.3877551020408164,4487568622516.619,111,38775622.05854556,1.578947368421052
31,0.6326530612244897,0.3673469387755103,4547686039880.154,119,36734929.7194242,1.7222222222222217
32,0.6530612244897959,0.3469387755102041,4489287347573.285,113,34694071.27003629,1.8823529411764706
33,0.673469387755102,0.326530612244898,4536080282922.324,110,32653171.22472788,2.0624999999999996
34,0.6938775510204082,0.3061224489795918,4589104590698.205,115,30612436.788640976,2.266666666666667
35,0.7142857142857142,0.2857142857142858,4442245531999.4,109,28571573.78159244,2.4999999999999987
36,0.7346938775510203,0.2653061224489796,4465060291727.762,114,26530768.88477712,2.7692307692307687
37,0.7551020408163265,0.2448979591836735,4531236323605.34,107,24489949.98391811,3.083333333333333
38,0.7755102040816326,0.2244897959183673,4630756698878.86,109,22449116.805618424,3.4545454545454555
39,0.7959183673469387,0.2040816326530613,4398408875856.5625,114,20408296.73572944,3.8999999999999977
40,0.8163265306122448,0.1836734693877552,4481280179769.541,115,18367495.874045476,4.444444444444442
41,0.836734693877551,0.163265306122449,4475534720297.488,114,186.2032971846676,5.124999999999999
42,0.8571428571428571,0.1428571428571429,4565154762723.475,113,14285889.746965546,5.999999999999997
43,0.8775510204081632,0.1224489795918367,4649015479907.989,112,12245164.417757716,7.166666666666668
44,0.8979591836734693,0.1020408163265307,4508125593934.324,109,10204253.594718738,8.799999999999992
45,0.9183673469387754,0.0816326530612245,4533182549599.461,111,8163473.786540456,11.249999999999998
46,0.9387755102040816,0.0612244897959184,4612887878637.086,112,6122711.056773123,15.333333333333323
47,0.9591836734693876,0.0408163265306122,4583110615735.008,116,198.06440746251133,23.50000000000002
48,0.979591836734694,0.0204081632653061,4392147882620.187,114,2040933.2135327093,48.00000000000006
49,1.0,0.0,4564008557449.053,108,218.1254829010616,inf
